GLOSS	CATALAN_REF	CATALAN_SEQ	FRENCH_REF	FRENCH_SEQ	ITALIAN_REF	ITALIAN_SEQ	LATIN_REF	LATIN_SEQ	PORTUGUESE_REF	PORTUGUESE_SEQ	ROMANIAN_REF	ROMANIAN_SEQ	SPANISH_REF	SPANISH_SEQ
LEFT	ə s k - ɛ r - ə	ə s k ɛ r ə	g oː ʃ	g oː ʃ	s i n i s t - r o	s i n i s t r o	s ɪ n ɪ s t ɛ r -	s ɪ n ɪ s t ɛ r	ɪ ʃ k - e r ð u	ɪ ʃ k e r ð u	s t ɨ n g	s t ɨ n g	i θ k j e ɾ ð o	i θ k j e ɾ ð o
LEG	k a m ə	k a m ə	ʒ ɑ̃ː b	ʒ ɑ̃ː b	g a m b a	g a m b a	k r uː s	k r uː s	p - ɛ r n ɐ	p ɛ r n ɐ	p i tʃ j o r	p i tʃ j o r	p j e ɾ n a	p j e ɾ n a
LENGTH	lˠ u ɲ ʒ i t̪ u t̪ -	lˠ u ɲ ʒ i t̪ u t̪	l ɔ̃ g œː ʁ	l ɔ̃ g œː ʁ	l u ŋ g e t - ts a	l u ŋ g e t ts a	lˠ ɔ ŋ g ɪ t uː d oː	lˠ ɔ ŋ g ɪ t uː d oː	k õ p r i m ẽ t u	k õ p r i m ẽ t u	l u n dʒ i m e	l u n dʒ i m e	l o ŋ g i t u ð -	l o ŋ g i t u ð
LETTER	k a ɾ t̪ ə	k a ɾ t̪ ə	l ɛ t - ʁ ə	l ɛ t ʁ ə	l ɛ tː e r a	l ɛ tː e r a	ɛ p ɪ s t ʊ lˠ a	ɛ p ɪ s t ʊ lˠ a	k a r t ɐ	k a r t ɐ	s k r i s o a r e	s k r i s o a r e	k a ɾ t a	k a ɾ t a
LICK	ʎ ə - p a - -	ʎ ə p a	l e ʃ e	l e ʃ e	l e kː a r e	l e kː a r e	lˠ a m b ɛ r ɛ	lˠ a m b ɛ r ɛ	l ã - b e r -	l ã b e r	l i n dʒ e	l i n dʒ e	l a m - e ɾ -	l a m e ɾ
LID_(COVER,_CAP)	t̪ ə p ə ð ɔ ɾ ə	t̪ ə p ə ð ɔ ɾ ə	k u v ɛ ʁ k - l ə	k u v ɛ ʁ k l ə	k o p e r k - j o	k o p e r k j o	- ɔ p ɛ r k ʊ lˠ ʊ̃	ɔ p ɛ r k ʊ lˠ ʊ̃	t ɐ̃ p ɐ	t ɐ̃ p ɐ	k a p a k	k a p a k	t a p a ð e ɾ a	t a p a ð e ɾ a
LIE_(FALSEHOOD)	m ə n̪ t̪ i - ð ə	m ə n̪ t̪ i ð ə	m ɑ̃ s ɔ̃ː ʒ	m ɑ̃ s ɔ̃ː ʒ	m e n ts o - ɲː a	m e n ts o ɲː a	m ɛ n d aː k ɪ ʊ̃	m ɛ n d aː k ɪ ʊ̃	m ẽ - t i - r ɐ	m ẽ t i r ɐ	m i n tʃ i w n ə	m i n tʃ i w n ə	m e n t i - ɾ a	m e n t i ɾ a
LIE_(REST)	ʒ ɛ w ɾ ə	ʒ ɛ w ɾ ə	ɛː t ʁ ə + k u ʃ e	ɛː t ʁ ə + k u ʃ e	dʒ a tʃ e r e	dʒ a tʃ e r e	ɪ a k eː r ɛ	ɪ a k eː r ɛ	i ʃ t a r + - d e j t a ð u	i ʃ t a r + d e j t a ð u	f i + k u l k a t	f i + k u l k a t	e s t a ɾ + a k o s t a ð o	e s t a ɾ + a k o s t a ð o
LIFE	β i ð ə	β i ð ə	v i - -	v i	v i t a	v i t a	w iː t a	w iː t a	v i ð ɐ	v i ð ɐ	v j a ts ə	v j a ts ə	b i ð a	b i ð a
LIFT	ə ʃ ə k a	ə ʃ ə k a	- - l ə v e - - - -	l ə v e	s o lː e v a - - r e	s o lː e v a r e	- - lˠ ɛ w aː - - r ɛ	lˠ ɛ w aː r ɛ	- - l ə v ɐ̃ t a r -	l ə v ɐ̃ t a r	r i d i k a	r i d i k a	a l θ a ɾ	a l θ a ɾ
LIGHT_(IGNITE)	ə n s ɛ n ð - - ɾ ə	ə n s ɛ n ð ɾ ə	a l y m e	a l y m e	i n tʃ e n d i a r e	i n tʃ e n d i a r e	ĩː f lˠ a mː aː r ɛ	ĩː f lˠ a mː aː r ɛ	ɐ - s ẽ - d - e r -	ɐ s ẽ d e r	a p r i n d e	a p r i n d e	e n θ e n d - e ɾ -	e n θ e n d e ɾ
LIGHT_(RADIATION)	ʎ u m	ʎ u m	l y m j ɛː ʁ	l y m j ɛː ʁ	l u - tʃ e	l u tʃ e	lˠ uː m ɛ n -	lˠ uː m ɛ n	l u - ʃ -	l u ʃ	l u m i n ə	l u m i n ə	l u - θ -	l u θ
LIKE	ə ɣ ɾ ə ð ə ɾ + a	ə ɣ ɾ ə ð ə ɾ + a	v u l w aː ʁ	v u l w aː ʁ	v o l e r e + b e n e + a	v o l e r e + b e n e + a	a m aː r ɛ	a m aː r ɛ	g u ʃ t a r + d ə	g u ʃ t a r + d ə	p l ə tʃ e a + a	p l ə tʃ e a + a	k e ɾ e ɾ	k e ɾ e ɾ
LINE	lˠ i n - i ə	lˠ i n i ə	l i ɲ - - -	l i ɲ	l i n - e a	l i n e a	l iː n - ɛ a	l iː n ɛ a	l i ɲ - ɐ -	l i ɲ ɐ	l i n j e -	l i n j e	l i n - e a	l i n e a
LIP	ʎ a β - i	ʎ a β i	l ɛː v ʁ ə	l ɛː v ʁ ə	l a bː r o	l a bː r o	lˠ a b r ʊ̃	lˠ a b r ʊ̃	l a β j u	l a β j u	b u z ə	b u z ə	l a β j o	l a β j o
LISTEN	ə - s k u lˠ t̪ a - -	ə s k u lˠ t̪ a	e - - k u - t e - -	e k u t e	a - s k o l t a r e	a s k o l t a r e	a ʊ s k ʊ lˠ t aː r ɛ	a ʊ s k ʊ lˠ t aː r ɛ	i - ʃ k u - t a r -	i ʃ k u t a r	a - s k u l t a - -	a s k u l t a	e - s k u - tʃ a ɾ -	e s k u tʃ a ɾ
LIVER	f ɛ dʒ ə	f ɛ dʒ ə	f w a	f w a	f e g a t o	f e g a t o	ɪ ɛ k ʊ r	ɪ ɛ k ʊ r	f i ɣ a ð u	f i ɣ a ð u	f i k a t -	f i k a t	- i ɣ a ð o	i ɣ a ð o
LOAD	k a r ə ɣ ə	k a r ə ɣ ə	f a ʁ d o	f a ʁ d o	k a r i k o	k a r i k o	ɔ n ʊ s	ɔ n ʊ s	k a r - ɣ ɐ	k a r ɣ ɐ	s a r tʃ i n ə	s a r tʃ i n ə	k a ɾ - ɣ a	k a ɾ ɣ a
LOCK	p a ɲ	p a ɲ	s ɛ ʁ - - yː ʁ -	s ɛ ʁ yː ʁ	s e rː a t u r a	s e rː a t u r a	k lˠ a ʊ s t r a	k lˠ a ʊ s t r a	f ə ʃ ɐ ð u r ɐ	f ə ʃ ɐ ð u r ɐ	l a k ə t	l a k ə t	θ e r a ð u ɾ a	θ e r a ð u ɾ a
LONG	ʎ a ɾ k -	ʎ a ɾ k	l ɔ̃	l ɔ̃	- - - - - - l u ŋ g o -	l u ŋ g o	- - - - - - lˠ ɔ ŋ gʷ - s	lˠ ɔ ŋ gʷ s	k õ p r i ð u	k õ p r i ð u	- - - - - - l u n g - -	l u n g	l a ɾ ɣ o	l a ɾ ɣ o
LONGING_(WISH)	g a n ə s	g a n ə s	ɑ̃ v i	ɑ̃ v i	v o ʎː a	v o ʎː a	w ɔ lˠ ʊ p t aː s	w ɔ lˠ ʊ p t aː s	v õ t a ð ə	v õ t a ð ə	ɨ n k l i n a r e	ɨ n k l i n a r e	g a n a s	g a n a s
LOOK	m i ɾ a -	m i ɾ a	ʁ ə g a ʁ d e	ʁ ə g a ʁ d e	g u a r d a r e	g u a r d a r e	a s p ɛ k t aː r ɛ	a s p ɛ k t aː r ɛ	u ʎ a r	u ʎ a r	p r i vʲ	p r i vʲ	m i ɾ a ɾ	m i ɾ a ɾ
LOOK_FOR	b u s k a -	b u s k a	ʃ ɛ ʁ ʃ e	ʃ ɛ ʁ ʃ e	tʃ e r k a r e	tʃ e r k a r e	kʷ a ɛ r ɛ r ɛ	kʷ a ɛ r ɛ r ɛ	p r u k u r a r	p r u k u r a r	k ə w t a	k ə w t a	b u s k a ɾ	b u s k a ɾ
LOUSE	p - ɔ ʎ -	p ɔ ʎ	p u	p u	p i d o kː j o	p i d o kː j o	p ɛ d ɪ k ʊ lˠ ʊ s	p ɛ d ɪ k ʊ lˠ ʊ s	p j u ʎ u	p j u ʎ u	p ə d u k - e	p ə d u k e	p j o x o	p j o x o
LOVE	ə s t i m a	ə s t i m a	ɛ m e	ɛ m e	a m a r e	a m a r e	a m aː r ɛ	a m aː r ɛ	k ə r e r	k ə r e r	i w bʲ	i w bʲ	k e ɾ e ɾ	k e ɾ e ɾ
LOW	ə + b a - ʃ -	ə + b a ʃ	o d s u	o d s u	s o tː o	s o tː o	ĩː f r aː	ĩː f r aː	ẽ + b a j ʃ u	ẽ + b a j ʃ u	d e d e s u b t	d e d e s u b t	a β a x o	a β a x o
MAINLAND	t̪ - ə r ə + f ɛ ɾ m ə	t̪ ə r ə + f ɛ ɾ m ə	t - ɛː ʁ - + f ɛ ʁ m -	t ɛː ʁ + f ɛ ʁ m	t e rː a f e r m a	t e rː a f e r m a	k ɔ n t ɪ n ẽː s	k ɔ n t ɪ n ẽː s	t e ʀ a f i r m e	t e ʀ a f i r m e	u s k a t	u s k a t	t j e r a + f i ɾ m e	t j e r a + f i ɾ m e
MAKE	f ɛ - - - -	f ɛ	f ɛː - - ʁ -	f ɛː ʁ	f a - - r e	f a r e	f a k ɛ r ɛ	f a k ɛ r ɛ	f ɐ z e r -	f ɐ z e r	f a tʃ e	f a tʃ e	- a θ e ɾ -	a θ e ɾ
MAKE_ANGRY_(ANNOY)	ə ɱ f ə ð a -	ə ɱ f ə ð a	a g a s e	a g a s e	s t i t ts i r e	s t i t ts i r e	ɪ rː ɪ t aː r ɛ	ɪ rː ɪ t aː r ɛ	ɐ β u ʀ ə s e r	ɐ β u ʀ ə s e r	s u p ə r a	s u p ə r a	e ɱ f a ð a ɾ	e ɱ f a ð a ɾ
MAN	ɔ m ə -	ɔ m ə	ɔ m - -	ɔ m	u o m o	u o m o	w ɪ r	w ɪ r	ɔ m ẽ j	ɔ m ẽ j	b ə r b a t	b ə r b a t	o m b ɾ e	o m b ɾ e
MARCH	m a ɾ s - - - -	m a ɾ s	m a ʁ s - - - -	m a ʁ s	m a r ts - - o -	m a r ts o	m aː r t - ɪ ʊ s	m aː r t ɪ ʊ s	m a r s - - u -	m a r s u	m a r t j - e -	m a r t j e	m a ɾ θ - - o -	m a ɾ θ o
MASTER	m ɛ - - s t - ɾ ə	m ɛ s t ɾ ə	m ɛː - - - t - ʁ ə	m ɛː t ʁ ə	m a - e s t - r o	m a e s t r o	m a g ɪ s t ɛ r -	m a g ɪ s t ɛ r	m e - - ʃ t - r e	m e ʃ t r e	m a - e s t - r u	m a e s t r u	m a - e s t - ɾ o	m a e s t ɾ o
MAY_(MONTH)	m a tʃ - -	m a tʃ	m ɛ - - -	m ɛ	m a d dʒ o	m a d dʒ o	m aː ɪ ʊ s	m aː ɪ ʊ s	m a - j u	m a j u	m a - j -	m a j	m a - ʝ o	m a ʝ o
MEAL	m ə ɲ ʒ a ð ə	m ə ɲ ʒ a ð ə	m ɑ̃ - ʒ - - e	m ɑ̃ ʒ e	m a n dʒ a r e	m a n dʒ a r e	k eː n a	k eː n a	ʀ ə f e j s ɐ̃ w	ʀ ə f e j s ɐ̃ w	m ɨ n k a r e	m ɨ n k a r e	k o m i ð a	k o m i ð a
MEANING	s ə n̪ t̪ i t̪ -	s ə n̪ t̪ i t̪	s ɑ̃ː - s - -	s ɑ̃ː s	s i - ɲː i f i k a t o	s i ɲː i f i k a t o	s ɛ̃ - s ʊ s	s ɛ̃ s ʊ s	s i g n ə f i k a ð u	s i g n ə f i k a ð u	ɨ n ts e l e s	ɨ n ts e l e s	s i ɣ n i f i k a ð o	s i ɣ n i f i k a ð o
MEASURE	m ə z u ɾ - - a	m ə z u ɾ a	m ə z y ʁ - - e	m ə z y ʁ e	m i z u r a r e	m i z u r a r e	m eː t iː r iː	m eː t iː r iː	m ə ð i r -	m ə ð i r	m ə s u r - - a	m ə s u r a	m e ð i ɾ -	m e ð i ɾ
MEAT	k a ɾ n -	k a ɾ n	v j ɑ̃ː d	v j ɑ̃ː d	k a r n e	k a r n e	k a r - oː	k a r oː	k a r n ə	k a r n ə	k a r n e	k a r n e	k a ɾ n e	k a ɾ n e
MEDICINE	m ə ð i k ə m ɛ n̪ - -	m ə ð i k ə m ɛ n̪	m e d - s i n -	m e d s i n	m e d i tʃ i n a	m e d i tʃ i n a	r ɛ m ɛ d ɪ ʊ̃	r ɛ m ɛ d ɪ ʊ̃	ʀ ə m ɛ ð j u	ʀ ə m ɛ ð j u	m e d i k a m e n t -	m e d i k a m e n t	m e ð i k a m e n t o	m e ð i k a m e n t o
MEET	t̪ ɾ u β a	t̪ ɾ u β a	ʁ ɑ̃ - k ɔ̃ - t ʁ e - -	ʁ ɑ̃ k ɔ̃ t ʁ e	- i ŋ k o n t r a r e	i ŋ k o n t r a r e	k ɔ n w ɛ n iː r ɛ	k ɔ n w ɛ n iː r ɛ	- ẽ - k õ - t r a r -	ẽ k õ t r a r	ɨ n t ɨ l nʲ	ɨ n t ɨ l nʲ	- e ŋ k o n t ɾ a ɾ -	e ŋ k o n t ɾ a ɾ
MELT	f u n ð - ɾ ə s -	f u n ð ɾ ə s	f ɔ̃ː - d - ʁ - - ə	f ɔ̃ː d ʁ ə	ʃ ɔ ʎː i e r z i	ʃ ɔ ʎː i e r z i	lˠ ɪ kʷ eː s k ɛ r ɛ	lˠ ɪ kʷ eː s k ɛ r ɛ	f ũ - d i r - ʃ e	f ũ d i r ʃ e	s e + t o pʲ	s e + t o pʲ	d e r e t i ɾ s e	d e r e t i ɾ s e
MEMORY	m ə m - ɔ ɾ i a	m ə m ɔ ɾ i a	m e m w aː ʁ - -	m e m w aː ʁ	m e m - o r i a	m e m o r i a	m ɛ m - ɔ r ɪ a	m ɛ m ɔ r ɪ a	m ə m - ɔ r j ɐ	m ə m ɔ r j ɐ	m e m - o r j e	m e m o r j e	m e m - o ɾ j a	m e m o ɾ j a
MERRY	ə lˠ ɛ ɣ ɾ ə	ə lˠ ɛ ɣ ɾ ə	ʒ w a j ø	ʒ w a j ø	a lː e g r o	a lː e g r o	ɪ ɔ k oː s ʊ s	ɪ ɔ k oː s ʊ s	ɐ l ɛ ɣ r ə	ɐ l ɛ ɣ r ə	v e s e l	v e s e l	a l e ɣ ɾ e	a l e ɣ ɾ e
MESSAGE	m i - s a - dʒ ə -	m i s a dʒ ə	m ɛ - s aː - ʒ - -	m ɛ s aː ʒ	m e - sː a d dʒ o -	m e sː a d dʒ o	n uː n t ɪ ʊ s	n uː n t ɪ ʊ s	m ẽ - ʃ a - ʒ ẽ j	m ẽ ʃ a ʒ ẽ j	v e s t e	v e s t e	m e n s a - x e -	m e n s a x e
MIDDAY	m i dʒ - - d̪ i ə	m i dʒ d̪ i ə	m i - - - d i -	m i d i	m e t ts o dʒ o r n o	m e t ts o dʒ o r n o	m ɛ r iː d ɪ eː s	m ɛ r iː d ɪ eː s	m e - j u ð i ɐ	m e j u ð i ɐ	a m j a z ə	a m j a z ə	m e ð j o ð i a	m e ð j o ð i a
MIDDLE	s ɛ n̪ t̪ ɾ ə	s ɛ n̪ t̪ ɾ ə	m i l j ø	m i l j ø	tʃ e n t r o	tʃ e n t r o	m ɛ d - ɪ ʊ̃	m ɛ d ɪ ʊ̃	m e - j - u	m e j u	tʃ e n t r u	tʃ e n t r u	θ e n t ɾ o	θ e n t ɾ o
MILK	ʎ ɛ - t̪ -	ʎ ɛ t̪	l ɛ - - -	l ɛ	l a - tː e	l a tː e	lˠ a k	lˠ a k	l e j t ə	l e j t ə	l a p t e	l a p t e	l e - tʃ e	l e tʃ e
MIND	s ɛ ɲ	s ɛ ɲ	ʁ ɛ z ɔ̃	ʁ ɛ z ɔ̃	i n t e lː e - tː o	i n t e lː e tː o	ɪ ŋ g ɛ n ɪ ʊ̃	ɪ ŋ g ɛ n ɪ ʊ̃	ĩ t ə l i ʒ ẽ s j ɐ	ĩ t ə l i ʒ ẽ s j ɐ	i n t e l e k t -	i n t e l e k t	e n t e n d i m j e n t o	e n t e n d i m j e n t o
MIRROR	m i ɾ a ʎ	m i ɾ a ʎ	m i ʁ w aː ʁ	m i ʁ w aː ʁ	s p e kː - j o	s p e kː j o	s p ɛ k ʊ lˠ ʊ̃	s p ɛ k ʊ lˠ ʊ̃	i ʃ p e ʎ u	i ʃ p e ʎ u	o g l i n d ə	o g l i n d ə	e s p e x o	e s p e x o
MISPLACE	p - ɛ ɾ ð - ɾ ə	p ɛ ɾ ð ɾ ə	p - ɛ ʁ d - ʁ ə	p ɛ ʁ d ʁ ə	p - ɛ r d e r e	p ɛ r d e r e	aː m ɪ tː ɛ r ɛ	aː m ɪ tː ɛ r ɛ	p - ə r ð e r -	p ə r ð e r	p j e r d e - -	p j e r d e	p - e ɾ ð e ɾ -	p e ɾ ð e ɾ
MISTAKE	f a lˠ t̪ ə	f a lˠ t̪ ə	- ɛ ʁ œː - ʁ -	ɛ ʁ œː ʁ	z b a ʎː o	z b a ʎː o	- ɛ rː ɔ - r -	ɛ rː ɔ r	f a ʎ - a	f a ʎ a	g r e ʃ e a l ə	g r e ʃ e a l ə	- e r o - ɾ -	e r o ɾ
MONDAY	d̪ i ʎ u n s	d̪ i ʎ u n s	l œ̃ d i	l œ̃ d i	l u n e d i	l u n e d i	d ɪ eː s + lˠ uː n a ɛ	d ɪ eː s + lˠ uː n a ɛ	s ə ɣ ũ d ɐ f e j r ɐ	s ə ɣ ũ d ɐ f e j r ɐ	l u nʲ	l u nʲ	l u n e s -	l u n e s
MONEY	d̪ i n ɛ - ɾ - s	d̪ i n ɛ ɾ s	a ʁ ʒ ɑ̃	a ʁ ʒ ɑ̃	d e n a - r o -	d e n a r o	p ɛ k uː n ɪ a	p ɛ k uː n ɪ a	d i ɲ e j r u -	d i ɲ e j r u	p a r a l e	p a r a l e	d i n e - ɾ o -	d i n e ɾ o
MONTH	m ɛ s - -	m ɛ s	m w a	m w a	m e z e -	m e z e	m ẽː s ɪ s	m ẽː s ɪ s	m e ʃ - -	m e ʃ	l u n ə	l u n ə	m e s - -	m e s
MOON	ʎ u - n ə	ʎ u n ə	l y - n -	l y n	l u - n a	l u n a	lˠ uː - n a	lˠ uː n a	l u ɐ - -	l u ɐ	l u - n ə	l u n ə	l u - n a	l u n a
MOORLAND	p ə n̪ t̪ a	p ə n̪ t̪ a	t u ʁ b j ɛː ʁ -	t u ʁ b j ɛː ʁ	t o r b i e r a	t o r b i e r a	p a lˠ uː s	p a lˠ uː s	p ã t a n u	p ã t a n u	b ə r ə g a n	b ə r ə g a n	t u ɾ β - e ɾ a	t u ɾ β e ɾ a
MORNING	m ə t̪ - - i	m ə t̪ i	m a t i n e	m a t i n e	m a tː i n a	m a tː i n a	m aː n - - ɛ	m aː n ɛ	m ɐ ɲ - - ɐ̃	m ɐ ɲ ɐ̃	d i m i n e a ts ə	d i m i n e a ts ə	m a ɲ a n a	m a ɲ a n a
MOSQUITO	m u s k i t̪ -	m u s k i t̪	m u ʃ ʁ ɔ̃	m u ʃ ʁ ɔ̃	ts a n ts a r a	ts a n ts a r a	k ʊ lˠ ɛ k s	k ʊ lˠ ɛ k s	m u ʃ k i t u	m u ʃ k i t u	ts ɨ n ts a r -	ts ɨ n ts a r	m o s k i t o	m o s k i t o
MOTHER	m a - - ɾ ə	m a ɾ ə	m ɛː - - ʁ -	m ɛː ʁ	m a d - r e	m a d r e	m aː t ɛ r -	m aː t ɛ r	m ɐ̃ j	m ɐ̃ j	m a m ə	m a m ə	m a ð - ɾ e	m a ð ɾ e
MOUNTAIN	m u n̪ t̪ a ɲ ə	m u n̪ t̪ a ɲ ə	m ɔ̃ - t a ɲ -	m ɔ̃ t a ɲ	m o n t a ɲː a	m o n t a ɲː a	m õː s	m õː s	m õ - t ɐ ɲ ɐ	m õ t ɐ ɲ ɐ	m u n t e - -	m u n t e	m o n t a ɲ a	m o n t a ɲ a
MOUSE	r ə t̪ u lˠ i	r ə t̪ u lˠ i	s u ʁ i	s u ʁ i	s o r tʃ o	s o r tʃ o	m uː s	m uː s	ʀ a t u - -	ʀ a t u	ʃ o a r e tʃ e	ʃ o a r e tʃ e	ɾ a t o n -	ɾ a t o n
MOUSTACHE	b i ɣ ɔ t̪ i	b i ɣ ɔ t̪ i	m u s t a ʃ -	m u s t a ʃ	m u s t a kː i	m u s t a kː i	b a r b a + lˠ a b r iː + s ʊ p ɛ r ɪ oː r ɪ s	b a r b a + lˠ a b r iː + s ʊ p ɛ r ɪ oː r ɪ s	b i ɣ o ð e	b i ɣ o ð e	m u s t a ts ə	m u s t a ts ə	b i ɣ o t e	b i ɣ o t e
MOUTH	b ɔ k ə	b ɔ k ə	b u ʃ -	b u ʃ	b o kː a	b o kː a	oː s	oː s	b o k ɐ	b o k ɐ	g u r ə	g u r ə	b o k a	b o k a
MOVE_(AFFECT_EMOTIONALLY)	ə m u s i u n a	ə m u s i u n a	a t ɑ̃ d ʁ iː ʁ	a t ɑ̃ d ʁ iː ʁ	k o - mː u ɔ v e r e	k o mː u ɔ v e r e	k ɔ - mː - ɔ w eː r ɛ	k ɔ mː ɔ w eː r ɛ	k o - m - o v e r -	k o m o v e r	ɨ n d u j o ʃ a	ɨ n d u j o ʃ a	k o n m - o β e ɾ -	k o n m o β e ɾ
MOVE_(ONESELF)	m u w ɾ ə s	m u w ɾ ə s	b u ʒ e	b u ʒ e	a dʒ i t a r z i	a dʒ i t a r z i	s eː + m ɔ w eː r ɛ	s eː + m ɔ w eː r ɛ	m u v e r s ə	m u v e r s ə	s e + m i ʃ k a	s e + m i ʃ k a	m o β e ɾ s e	m o β e ɾ s e
MUSHROOM	b u lˠ ɛ t̪	b u lˠ ɛ t̪	ʃ ɑ̃ p i ɲ ɔ̃	ʃ ɑ̃ p i ɲ ɔ̃	f u ŋ g o -	f u ŋ g o	f ʊ ŋ gʷ - s	f ʊ ŋ gʷ s	k u ɣ u m ɛ l u	k u ɣ u m ɛ l u	tʃ i w p e r k ə	tʃ i w p e r k ə	- o ŋ g o -	o ŋ g o
MUSH_(FOOD)	p u ɾ e	p u ɾ e	b u j i	b u j i	p a pː - - a	p a pː a	p ʊ lˠ s	p ʊ lˠ s	p u r e	p u r e	p i r e w	p i r e w	p a p i ʝ a	p a p i ʝ a
NAIL_(TOOL)	k lˠ a w - -	k lˠ a w	k l u - - -	k l u	k j o d o	k j o d o	k lˠ aː w ʊ s	k lˠ aː w ʊ s	k r a v u -	k r a v u	k u j	k u j	k l a β o -	k l a β o
NAKED	n u - - -	n u	n y - - -	n y	n u d o -	n u d o	n uː d ʊ s	n uː d ʊ s	d e ʃ p i ð u	d e ʃ p i ð u	g o l	g o l	d e z n u ð o	d e z n u ð o
NAME	n ɔ m - - - - - -	n ɔ m	n ɔ̃ - - - - - - -	n ɔ̃	n o m - - - - e -	n o m e	n oː m ɛ n - - - -	n oː m ɛ n	n o m - - - - ə -	n o m ə	n u m - - - - e -	n u m e	n o m - b - ɾ e -	n o m b ɾ e
NAPE_(OF_NECK)	n u k ə	n u k ə	n y k -	n y k	n u k a	n u k a	k ɛ r w iː k eː s	k ɛ r w iː k eː s	n u k a	n u k a	tʃ e a f ə	tʃ e a f ə	θ e ɾ β i θ	θ e ɾ β i θ
NARROW	ə s t ɾ ɛ - t̪ -	ə s t ɾ ɛ t̪	e t ʁ w a	e t ʁ w a	- s t r e - tː o	s t r e tː o	a ŋ gʷ s t ʊ s	a ŋ gʷ s t ʊ s	i ʃ t r e j t u	i ʃ t r e j t u	s t r ɨ m t	s t r ɨ m t	e s t ɾ e - tʃ o	e s t ɾ e tʃ o
NAVEL	ʎ u m β - ɾ i ɣ u lˠ	ʎ u m β ɾ i ɣ u lˠ	n ɔ̃ b ʁ i	n ɔ̃ b ʁ i	- o m b e l i k o -	o m b e l i k o	- ʊ m b ɪ lˠ ɪ k ʊ s	ʊ m b ɪ lˠ ɪ k ʊ s	- ũ - b - - i ɣ u -	ũ b i ɣ u	b u r i k	b u r i k	- o m b - l i ɣ o -	o m b l i ɣ o
NEAR	p ɾ ɔ k s i m -	p ɾ ɔ k s i m	p ʁ ɔ ʃ	p ʁ ɔ ʃ	p r o p i n k w o -	p r o p i n k w o	p r ɔ p ɪ ŋ kʷ - ʊ s	p r ɔ p ɪ ŋ kʷ ʊ s	p r ɔ - s i m u	p r ɔ s i m u	a p r o p j a t	a p r o p j a t	θ e ɾ k a n o	θ e ɾ k a n o
NECK	k ɔ ʎ -	k ɔ ʎ	k u	k u	k o lː o	k o lː o	k ɔ lː ʊ̃	k ɔ lː ʊ̃	p ə ʃ k o s u	p ə ʃ k o s u	g ɨ t	g ɨ t	k w e ʝ o	k w e ʝ o
NEEDLE_(FOR_SEWING)	ə ɣ u ʎ ə	ə ɣ u ʎ ə	e g ɥ iː j	e g ɥ iː j	a g o -	a g o	a k ʊ s	a k ʊ s	ɐ ɣ u ʎ ɐ	ɐ ɣ u ʎ ɐ	a k - -	a k	a ɣ u x a	a ɣ u x a
NEST	n i w - -	n i w	n i - - -	n i	n i d o -	n i d o	n iː d ʊ s	n iː d ʊ s	n i ɲ u -	n i ɲ u	k u j b	k u j b	n i ð o -	n i ð o
NET	f i lˠ a t̪	f i lˠ a t̪	f i l ɛ -	f i l ɛ	r e t e	r e t e	r eː t ɛ	r eː t ɛ	ʀ e ð ə	ʀ e ð ə	p l a s ə	p l a s ə	ɾ e ð -	ɾ e ð
NEVER	n u + + m a j	n u + + m a j	n ə + ʒ a m ɛ	n ə + ʒ a m ɛ	n o n + m a i	n o n + m a i	n ʊ ŋ kʷ ã	n ʊ ŋ kʷ ã	n ũ - k ɐ	n ũ k ɐ	n i tʃ j o d a t ə	n i tʃ j o d a t ə	x a m a s	x a m a s
NEW	n - ɔ - w - -	n ɔ w	n - u - v o -	n u v o	n - u o v o -	n u o v o	n - ɔ - w ʊ s	n ɔ w ʊ s	n - o - v u -	n o v u	n - o - w - -	n o w	n w e - β o -	n w e β o
NEWS	n u β ə t̪ a t̪ -	n u β ə t̪ a t̪	n u v ɛ l	n u v ɛ l	n o t i ts i - a	n o t i ts i a	n ɔ w ɪ t aː s -	n ɔ w ɪ t aː s	n o v i ð a ð e	n o v i ð a ð e	a k t w a l i t a t e	a k t w a l i t a t e	n o t i θ - j a	n o t i θ j a
NEWSPAPER	d̪ i a ɾ i	d̪ i a ɾ i	ʒ u ʁ n a l -	ʒ u ʁ n a l	dʒ o r n a l e	dʒ o r n a l e	d ɪ ʊ r n ʊ̃	d ɪ ʊ r n ʊ̃	ʒ u r n a lˠ -	ʒ u r n a lˠ	g a z e t ə	g a z e t ə	p e ɾ j o ð i k o	p e ɾ j o ð i k o
NEXT_TO	ə lˠ + k u s t a t̪ + d̪ ɛ	ə lˠ + k u s t a t̪ + d̪ ɛ	a k o t e d ə	a k o t e d ə	a + a kː a n t o + a	a + a kː a n t o + a	ɪ ʊ k s t aː	ɪ ʊ k s t aː	ɐ w + l a ð u + d ə	ɐ w + l a ð u + d ə	a l ə t u r i + d e	a l ə t u r i + d e	a l + l a ð o + ð e	a l + l a ð o + ð e
NIGHT	n - i - - t̪ -	n i t̪	n ɥ i - - - -	n ɥ i	n - o - - tː e	n o tː e	n ɔ k s	n ɔ k s	n - o - j t ə	n o j t ə	n - o a p t e	n o a p t e	n - o - - tʃ e	n o tʃ e
